,val_loss,val_acc,loss,acc
0,0.38086010577778023,0.8463541666666666,0.4596964327129074,0.7875933745109481
1,0.35125858274598915,0.859375,0.3543745952018014,0.8499512829227701
2,0.3633641855170329,0.84375,0.31300300802066366,0.8723611562195518
3,0.34976426729311544,0.8515625,0.2875030163273859,0.8892497564144203
4,0.31833200839658576,0.875,0.2622799428979001,0.9028905488988648
5,0.3615218587219715,0.875,0.23963630628221877,0.9119844105422555
6,0.36284471303224564,0.8723958333333334,0.21740763079339942,0.9184800259824618
7,0.3228768507639567,0.875,0.2028937352559287,0.9285482299447873
8,0.3352004528666536,0.8932291666666666,0.17566176080672763,0.9386164339264711
9,0.47788930622239906,0.8463541666666666,0.1534131596759615,0.9470607340045469
10,0.38235707324929535,0.8723958333333334,0.14490881204343764,0.9467359532315687
11,0.3887857512260477,0.8932291666666666,0.11759635743894682,0.961351088034948
12,0.39108872367069125,0.890625,0.0981622944032751,0.9649236765377086
13,0.5459948198016112,0.8645833333333334,0.07913383717272708,0.975641442026632
14,0.5467188572511077,0.8828125,0.06448157415999031,0.9785644689834362
